"","cue","coverage","H","unknown","xR2","xR3","N"
"2110","comforter",93.1899641577061,3.81966646514657,3,3,6,300
"2111","comforting",91.4089347079038,4.29018979779738,0,2,5,300
"2112","comfy",94.4444444444444,3.61835941326308,2,1,4,300
"2113","comic",85.2233676975945,3.78306340406176,0,2,5,300
"2114","comics",71.7314487632509,4.36137907945745,0,5,7,300
"2115","coming",91.0714285714286,3.88888058995309,1,3,11,300
"2116","comma",86.8965517241379,3.87279974690448,0,1,8,300
"2117","command",91.0652920962199,4.2560506845647,0,2,5,300
"2118","commander",93.0555555555556,3.75182873521875,0,2,8,300
"2119","commence",93.7728937728938,3.0473669456089,4,1,13,300
"2120","comment",94.3262411347518,4.38530409764368,2,1,10,300
"2121","commerce",91.4893617021277,3.81399335394646,3,2,5,300
"2122","commercial",80.9187279151943,4.65181079538362,2,1,9,300
"2123","commission",89.3238434163701,4.52095844884572,1,4,8,300
"2124","commit",89.0070921985816,4.45603724757862,1,3,9,300
"2125","commitment",92.5,4.26756287051071,2,2,10,300
"2126","committed",84.452296819788,4.51612910595307,2,1,9,300
"2127","committee",86.8055555555556,4.24790505512269,0,3,6,300
"2128","common",89.419795221843,4.49144018647385,0,1,5,300
"2129","commons",77.5100401606426,4.68988621117414,9,6,12,300
"2130","common sense",80,4.71354955084505,2,15,9,300
"2131","commune",86.7704280155642,4.51784153365987,4,9,13,300
"2132","communicate",93.1506849315068,4.06272077377285,0,3,2,300
"2133","communication",93.0795847750865,4.31611471710906,2,0,5,300
"2134","communion",84.7750865051903,3.90264949410367,1,2,4,300
"2135","communism",78.5964912280702,4.10650934981203,3,1,4,300
"2136","communist",80.9027777777778,4.12761792779869,1,2,5,300
"2137","community",91.2162162162162,4.21542980508447,0,1,2,300
"2138","commute",94.8453608247423,3.51145084636333,1,1,4,300
"2139","compact",95.1890034364261,3.37496485714652,1,0,6,300
"2140","companion",92.7083333333333,3.61418587992679,1,2,5,300
"2141","companionship",93.5374149659864,4.14941401831318,0,2,2,300
"2142","company",82.9351535836177,4.1784178653927,0,0,7,300
"2143","comparative",80.7547169811321,4.45841751524742,3,8,10,300
"2144","compare",84.7328244274809,4.30259155983953,4,6,14,300
"2145","comparison",88.671875,4.67341155455368,7,6,11,300
"2146","compartment",90.0709219858156,4.16907976581845,1,3,9,300
"2147","compass",96.2328767123288,3.807032865435,2,0,2,300
"2148","compassion",94.4250871080139,4.02729152177154,1,2,6,300
"2149","compassionate",94.3661971830986,3.96435122702679,3,2,3,300
"2150","compatible",79.3478260869565,4.61272479153897,3,4,7,300
"2151","compel",88.5245901639344,4.18414561647774,10,8,10,300
"2152","compelled",70.8812260536398,4.27660884185118,4,8,11,300
"2153","compensation",83.0882352941177,4.05043452007404,5,2,9,300
"2154","compete",91.1347517730496,4.34760813821952,2,2,8,300
"2155","competence",92.2794117647059,4.32065214436428,1,7,11,300
"2156","competent",94.5736434108527,4.09424466996276,4,5,20,300
"2157","competition",90.0343642611684,4.3760236814975,0,3,3,300
"2158","competitive",90.9407665505226,4.51810964315976,0,4,5,300
"2159","competitor",90.9722222222222,4.33604003245441,1,1,7,300
"2160","compile",90.7142857142857,4.30201465449696,3,2,7,300
"2161","complain",89.3238434163701,4.42175548134767,4,1,5,300
"2162","complaint",86.3309352517986,4.663697022245,2,4,8,300
"2163","complete",93.0795847750865,3.60173324804535,0,2,7,300
"2164","completed",91.9413919413919,3.06668110521189,0,7,13,300
"2165","completely",86.6666666666667,3.69701592464479,2,5,14,300
"2166","completion",93.2624113475177,3.66475158571325,1,2,11,300
"2167","complex",88.4057971014493,4.2957029904305,2,4,10,300
"2168","compliant",80.1619433198381,4.6661880717194,7,10,12,300
"2169","complicated",88.339222614841,4.03145654851505,1,3,8,300
"2170","complication",90.9774436090226,4.20857817966055,1,9,13,300
"2171","compliment",94.3060498220641,4.23543657119031,0,5,9,300
"2172","comply",87.0722433460076,4.23509472429859,5,4,14,300
"2173","component",94.8148148148148,3.50060920903743,3,4,13,300
"2174","components",87.3188405797101,3.74407847952401,0,7,10,300
"2175","compose",94.4636678200692,3.70411386854731,0,4,3,300
"2176","composer",86.2542955326461,3.53648560041849,0,1,7,300
"2177","composition",94.1580756013746,3.8071228661233,0,1,7,300
"2178","compost",90.8771929824562,4.05251607615704,1,4,4,300
"2179","composure",83.3333333333333,4.24263939269018,7,15,9,300
"2180","compound",88.6925795053003,4.59834874442112,3,2,4,300
"2181","comprehend",92.4460431654676,3.46228503081083,0,4,14,300
"2182","comprehension",91.6967509025271,3.61404021510483,2,4,9,300
"2183","comprehensive",89.6678966789668,3.98194304826894,3,3,14,300
"2184","compress",90,4.12415531180354,0,2,6,300
"2185","compromise",88.8086642599278,4.77915577274048,3,2,10,300
"2186","compulsion",91.5057915057915,4.33278078675483,4,7,15,300
"2187","compulsive",88.1294964028777,4.22500843633992,2,4,8,300
"2188","compulsory",89.6,4.04132569180487,2,14,16,300
"2189","compute",84.9122807017544,4.08044553832219,0,4,7,300
"2190","computer",93.3797909407666,4.40890109423356,2,1,5,300
"2191","computing",81.3620071684588,4.26030284454347,3,2,8,300
"2192","comrade",92.4398625429553,3.51880424469813,0,2,5,300
"2193","con",92.0138888888889,4.08981930630782,2,1,4,300
"2194","concave",88.6363636363636,4.0332986648189,7,4,7,300
"2195","conceal",93.9285714285714,3.48254083793644,0,5,10,300
"2196","concealed",85.5018587360595,3.70352801105377,1,9,10,300
"2197","concede",91.82156133829,4.04880383399937,5,3,10,300
"2198","conceit",78.6363636363636,4.66137229996826,16,11,10,300
"2199","conceited",82.3770491803279,4.31963960358019,10,9,8,300
"2200","conceive",91.5194346289753,3.73563198695758,4,2,1,300
"2201","concentrate",92.7083333333333,3.88820523402571,2,1,4,300
"2202","concentrated",84.6441947565543,4.36307036266103,0,12,9,300
"2203","concentration",90.4109589041096,4.27831073204144,1,0,5,300
"2204","concept",94.1391941391941,3.79708664303872,3,4,10,300
"2205","conception",90.9090909090909,3.81736352464997,0,8,9,300
"2206","concern",93.2075471698113,3.7945674323768,2,8,13,300
"2207","concerned",91.7293233082707,3.90384149840081,1,6,19,300
"2208","concerning",83.00395256917,4.1450544760409,6,9,11,300
"2209","concert",90.9698996655518,3.86310559347722,0,0,1,300
"2210","concise",88.5931558935361,4.04254587215252,6,3,13,300
"2211","conclude",90.7142857142857,3.45488048882247,0,5,10,300
"2212","conclusion",92.5,3.67602789328414,1,4,9,300
"2213","concoction",89.9280575539568,3.97079822619397,4,1,8,300
"2214","concrete",93.5374149659864,4.24181710559081,1,0,3,300
"2215","concur",88.5245901639344,3.72769099272726,6,11,16,300
"2216","condemn",89.2193308550186,4.54510115340794,3,6,10,300
"2217","condensation",89.9305555555556,3.5931508074684,0,1,10,300
"2218","condescending",67.7685950413223,4.42855356052715,7,14,9,300
"2219","condiment",94.3181818181818,3.3188486061505,9,1,7,300
"2220","condiments",90.9722222222222,3.36152323235016,1,2,5,300
"2221","condition",90.6015037593985,4.49481390336161,4,3,16,300
"2222","conditional",81.8548387096774,4.73979421813046,7,10,11,300
"2223","conditioner",93.0555555555556,3.28784254477485,0,2,8,300
"2224","conditions",81.2274368231047,4.37134803454725,0,7,9,300
"2225","condo",88.6446886446886,3.91979180886032,5,4,4,300
"2226","condom",91.2891986062718,3.32450133347583,0,4,5,300
"2227","conduct",91.6967509025271,3.99625985614194,3,4,6,300
"2228","conductor",91.5194346289753,3.6604774591037,1,4,6,300
"2229","cone",89.1156462585034,3.95022709350102,1,0,3,300
"2230","confer",88.4462151394422,4.00858087893206,13,2,6,300
"2231","conference",90.5594405594406,4.10488702992968,0,3,8,300
"2232","confess",90.4593639575972,4.31358550312716,1,3,8,300
"2233","confession",90.1060070671378,4.17914590559411,0,3,11,300
"2234","confetti",88.7272727272727,3.46757375856628,1,8,6,300
"2235","confidant",89.6428571428572,4.50869566393886,1,3,11,300
"2236","confide",94.0140845070423,3.20292407229595,2,2,6,300
"2237","confidence",87.2586872586873,4.8029571062721,5,8,10,300
"2238","confident",92.0289855072464,4.4151220163786,1,6,9,300
"2239","confidential",85.9712230215827,3.77607964048515,0,3,16,300
"2240","configure",82.7205882352941,4.41763021243788,1,8,9,300
"2241","confine",88.5416666666667,4.34085722878857,2,1,4,300
"2242","confined",75.7575757575758,4.10934312637348,3,8,11,300
"2243","confinement",84.6153846153846,4.13298889738393,3,4,10,300
"2244","confirm",87.7697841726619,4.33648986994905,1,3,13,300
"2245","confirmation",84.2857142857143,4.37378863963412,2,3,8,300
"2246","conflict",91.3194444444444,4.10794289148452,2,1,4,300
"2247","conform",82.9710144927536,4.7572378531795,2,2,14,300
"2248","conformity",78.6259541984733,4.60913973329668,7,3,11,300
"2249","confound",82.2134387351779,4.12116972963753,6,9,11,300
"2250","confront",91.0071942446043,4.43218873438666,2,4,8,300
"2251","confrontation",92.226148409894,4.24660416308647,2,2,7,300
"2252","confuse",78.9667896678967,4.85578627992404,1,6,14,300
"2253","confused",74.6376811594203,4.81961167195098,2,5,8,300
"2254","confusing",80.6451612903226,4.80807088980285,1,4,10,300
"2255","confusion",79.3233082706767,4.89044960774584,2,10,8,300
"2256","congested",86.7857142857143,3.83027698207877,2,4,6,300
"2257","congestion",86.7768595041322,4.01880817651917,9,9,13,300
"2258","conglomerate",82.4902723735408,4.37362298702714,12,2,3,300
"2259","congratulate",88.8888888888889,4.56696984370235,1,4,10,300
"2260","congratulations",83.8487972508591,4.21511737163975,0,2,5,300
"2261","congregation",87.2340425531915,3.73915361705382,1,2,11,300
"2262","congress",83.6298932384342,4.73904587652812,3,3,4,300
"2263","conjoined",73.6401673640167,3.41053686308286,4,17,15,300
"2264","conjunction",89.0688259109312,4.05260886483861,11,5,10,300
"2265","connect",91.2587412587413,4.27684099574421,0,2,10,300
"2266","connected",87.6325088339223,4.3730579278006,0,4,9,300
"2267","connection",90.4761904761905,4.68193530071757,4,4,7,300
"2268","connotation",83.1325301204819,4.19475376742239,11,3,12,300
"2269","conquer",86.2542955326461,4.39794099221797,0,3,3,300
"2270","conquest",82.7205882352941,4.6282376667931,3,6,7,300
"2271","conquistador",69.1358024691358,4.12406344679645,11,10,4,300
"2272","conscience",94.661921708185,4.37515350900441,2,4,5,300
"2273","conscientious",91.7293233082707,4.51357875632779,6,3,10,300
"2274","conscious",93.5251798561151,3.65321285768968,2,3,10,300
"2275","consciousness",90.2173913043478,4.02802931666065,1,8,5,300
"2276","consensus",88.6446886446886,3.91660393375533,3,7,4,300
"2277","consent",93.0656934306569,4.02789180280995,1,4,15,300
"2278","consequence",91.6349809885932,4.17466885051064,6,5,9,300
"2279","conservation",86.9565217391304,4.45044333605279,2,5,8,300
"2280","conservative",83.5664335664336,4.61873787114102,1,2,7,300
"2281","conserve",88.8501742160279,3.85775466531758,0,1,11,300
"2282","consider",88.4057971014493,3.93982385456593,1,6,9,300
"2283","considerate",94.6808510638298,3.8003742075765,1,5,5,300
"2284","consideration",84.5588235294118,4.52266393324967,1,6,13,300
"2285","consistent",87.037037037037,4.45734837201603,2,6,12,300
"2286","console",92.3076923076923,4.5230003706923,1,1,9,300
"2287","consonant",85.8695652173913,3.71951584117702,2,6,6,300
"2288","conspiracy",80.7971014492754,4.16002393550997,0,6,12,300
"2289","constant",83.0388692579505,4.6296169904377,2,2,7,300
"2290","constellation",81.0344827586207,3.57745626253619,0,4,2,300
"2291","constipation",81.8518518518518,4.10112236925806,4,3,12,300
"2292","constitution",81.7857142857143,4.28835855778214,2,2,10,300
"2293","constrict",89.0909090909091,3.85562194115005,5,2,6,300
"2294","constrictor",89.3700787401575,3.43010563398381,6,10,8,300
"2295","construct",91.0394265232975,3.98167208749079,1,4,10,300
"2296","construction",90.5594405594406,4.16117411249403,2,1,6,300
"2297","constructive",93.5483870967742,3.93559827163115,2,5,5,300
"2298","consult",88.9655172413793,4.32883104754354,0,1,8,300
"2299","consume",94.7552447552448,3.78328654950729,0,1,12,300
"2300","consumer",86.1702127659574,4.3999298983972,0,4,10,300
"2301","consumerism",88.2154882154882,4.43139000819793,0,1,1,300
"2302","consumption",86.0627177700349,4.12819373370961,1,3,4,300
"2303","contact",93.8356164383562,4.16955589353756,0,0,8,300
"2304","contacts",82.9861111111111,3.61985428236503,2,0,6,300
"2305","contagious",83.9041095890411,3.72593150156591,2,1,0,300
"2306","contain",93.1159420289855,4.10830912877272,1,5,11,300
"2307","container",93.2624113475177,4.02681549493782,1,5,5,300
"2308","contaminate",87.4125874125874,4.18967193698165,2,2,4,300
"2309","contemporary",89.7526501766784,3.93267204457219,3,1,6,300
"2310","contempt",87.7777777777778,4.27061083354222,7,1,7,300
"2311","content",88.6861313868613,4.28892464074526,3,5,7,300
"2312","contentment",93.127147766323,3.70932086306179,0,2,5,300
"2313","contents",86.0714285714286,3.92176704340821,0,3,14,300
"2314","contest",93.7716262975779,3.87470922096599,2,1,3,300
"2315","context",89.2307692307692,4.53578942427012,5,5,15,300
"2316","continent",77.2241992882562,3.85572799643181,1,5,6,300
"2317","continental",81.8493150684932,4.22764477469405,0,0,8,300
"2318","continue",89.1304347826087,4.31395246483221,2,6,6,300
"2319","continuing",78.125,4.53770098906516,1,15,11,300
"2320","continuous",81.3186813186813,4.4507768498035,2,7,7,300
"2321","contra",80.1724137931034,4.19086171092224,16,5,10,300
"2322","contraband",80.5668016194332,3.85591324652449,9,9,8,300
"2323","contraception",90.2097902097902,3.57928549113355,1,3,5,300
"2324","contraceptive",85,3.61491991393444,2,4,6,300
"2325","contract",90.8474576271186,4.32810885562411,0,1,3,300
"2326","contractor",83.5087719298246,4.39573573242929,1,5,2,300
"2327","contradict",90.2985074626866,4.23621112312157,2,7,12,300
"2328","contradictory",85.6060606060606,4.386134893378,3,8,11,300
"2329","contraption",79.1970802919708,4.31030986482911,4,2,10,300
"2330","contrary",85.3281853281853,4.13022648689999,6,6,11,300
"2331","contrast",93.8628158844765,3.98079899170684,3,2,10,300
"2332","contribute",94.4055944055944,3.80810884349402,0,2,10,300
"2333","contribution",93.7282229965157,4.00898745182892,1,0,10,300
"2334","control",89.8601398601399,4.81838756539648,1,4,3,300
"2335","controller",84.1698841698842,4.38597000984206,1,13,12,300
"2336","controls",73.4767025089606,4.78498430551169,0,7,7,300
"2337","controversial",78.0669144981413,4.77414642804694,0,11,9,300
"2338","controversy",89.6797153024911,4.40706079064426,1,4,8,300
"2339","conundrum",88.2113821138211,3.81662330027083,8,10,10,300
"2340","convenience",86.9257950530035,3.74926004814599,1,3,8,300
"2341","convenient",85.8208955223881,3.75406692401699,1,7,15,300
"2342","convent",93.359375,3.55281727819977,9,6,5,300
"2343","conventional",86.5248226950355,3.9380457099022,0,6,6,300
"2344","conversation",89.8954703832753,3.83667714917712,2,1,5,300
"2345","converse",92.7586206896552,3.46437020456987,1,0,7,300
"2346","convert",87.0722433460076,3.91027041009392,0,12,13,300
"2347","convex",84.7058823529412,3.63241781328419,9,4,10,300
"2348","convey",88.1679389312977,4.31836511829839,8,3,8,300
"2349","convict",89.6907216494845,3.84623857728499,0,3,3,300
"2350","conviction",88.7323943661972,4.11656160637062,3,2,3,300
"2351","convince",87.7862595419847,4.47170525660538,4,5,16,300
"2352","convinced",75.187969924812,4.72905009043859,0,10,14,300
"2353","convincing",83.5205992509363,4.34558412073115,0,10,13,300
"2354","cook",90.7216494845361,4.08048822012168,0,3,3,300
"2355","cookbook",88.659793814433,3.98100391957043,0,1,7,300
"2356","cooked",88.659793814433,4.0130418818598,0,2,5,300
"2357","cooker",86.6666666666667,3.77862156250917,6,3,6,300
"2358","cookie",84.641638225256,3.98790166468348,0,2,3,300
"2359","cookies",84.8797250859106,4.12932983982103,1,1,4,300
"2360","cooking",92.4914675767918,4.34624234913646,0,1,5,300
"2361","cookout",92.9961089494163,3.97998679259374,10,5,3,300
"2362","cool",90.1360544217687,4.35603751653429,0,1,4,300
"2363","cooler",89.8245614035088,3.99086923728755,0,4,7,300
"2364","cooling",90.0369003690037,4.25697627485845,0,9,11,300
"2365","cooperate",87.6325088339223,4.28739251334048,3,0,8,300
"2366","cooperation",85.2517985611511,4.4899055582994,0,6,10,300
"2367","cooperative",78.0769230769231,4.44131220957716,2,13,8,300
"2368","coordinate",88,4.71082671673931,2,5,9,300
"2369","cop",93.0795847750865,4.03842393392583,1,1,6,300
"2370","cope",84.2105263157895,4.42456214314847,4,5,12,300
"2371","copier",88.9655172413793,3.57192621584886,0,2,6,300
"2372","co-pilot",90.4929577464789,3.92689768212836,1,5,3,300
"2373","copious",87.1212121212121,4.01291057433073,3,9,9,300
"2374","copper",89.7260273972603,4.08864561849391,1,1,3,300
"2375","cops",86.986301369863,3.55934191868137,0,0,8,300
"2376","copy",92.5170068027211,3.99771054794812,0,1,4,300
"2377","copycat",78.75,4.5880186325942,4,17,14,300
"2378","copyright",83.9721254355401,4.50606576799927,1,3,4,300
"2379","coral",90.8163265306122,3.55179530532078,0,0,6,300
"2380","cord",89.3992932862191,4.17917153263711,2,1,9,300
"2381","cordial",91.4285714285714,4.01399091282232,4,2,4,300
"2382","core",81.8493150684932,3.7290831481972,0,2,4,300
"2383","cork",92.5531914893617,3.15833030789988,2,2,8,300
"2384","corn",90.7216494845361,4.08009064802198,1,1,4,300
"2385","cornbread",79.7047970479705,4.39064691097825,5,4,6,300
"2386","corned beef",80.7843137254902,4.02746750662571,5,10,10,300
"2387","corner",85.9712230215827,4.64641424911182,1,5,9,300
"2388","cornfield",77.4305555555556,4.40543471938799,2,1,4,300
"2389","cornflakes",88.5521885521886,3.02438011282627,0,1,1,300
"2390","cornucopia",91.1646586345382,3.85166478835906,13,3,6,300
"2391","corny",83.3962264150943,4.205516233295,6,4,9,300
"2392","corporal",90.4214559386973,3.76667801462014,4,5,17,300
"2393","corporate",90.3114186851211,4.36100176140149,0,3,5,300
"2394","corporation",89.7526501766784,4.14488677238524,1,4,6,300
"2395","corps",86.2745098039216,3.72202899290498,4,14,5,300
"2396","corpse",90.4436860068259,3.34510621570108,0,0,7,300
"2397","correct",93.4931506849315,3.85919177357238,0,1,6,300
"2398","correction",85.7638888888889,4.30627519884806,0,2,8,300
"2399","correctness",84.9593495934959,4.15021694548786,2,16,16,300
"2400","correspondence",90.1098901098901,3.67981384948747,1,5,14,300
"2401","corridor",93.0147058823529,3.85136987142399,0,9,10,300
"2402","corrupt",88.5813148788927,4.34110979999862,2,1,3,300
"2403","corruption",92.9824561403509,4.33607873069118,1,2,8,300
"2404","corset",81.1188811188811,4.38535825033138,2,1,6,300
"2405","cortex",85.042735042735,3.6689589134353,15,5,11,300
"2406","cortisone",88.5057471264368,4.03917144359318,6,6,9,300
"2407","cosine",92.0353982300885,3.32074759823378,21,2,7,300
"2408","cosmetic",89.4557823129252,4.09406072941126,0,1,4,300
"2409","cosmetics",93.4707903780069,3.95810960468013,0,3,3,300
"2410","cosmic",86.0068259385665,4.11307050110613,0,1,5,300
"2411","cosmopolitan",90.1408450704225,3.70780069907168,3,2,3,300
"2412","cosmos",87.0307167235495,3.6541203968356,2,0,1,300
"2413","cost",95.1388888888889,3.64762185737536,0,2,8,300
"2414","costly",91.4285714285714,3.63914854843158,0,5,10,300
"2415","costume",90.5405405405405,3.91428520681172,0,0,4,300
"2416","cot",94.3609022556391,3.65728437847054,6,3,10,300
"2417","cottage",91.7525773195876,3.95141303285304,1,0,6,300
"2418","cotton",88.9632107023411,4.21899052608078,0,0,1,300
"2419","couch",89.419795221843,3.74793165960329,0,2,3,300
"2420","cougar",81.5217391304348,3.72927724988537,3,4,7,300
"2421","cough",88.6986301369863,3.95112972971452,0,1,6,300
"2422","could",93.0313588850174,3.34954723717286,0,2,9,300
"2423","council",80.2120141342756,4.47652783035163,1,1,12,300
"2424","counsel",93.1654676258993,4.09818994817415,4,2,6,300
"2425","count",78.4246575342466,3.92657634878176,0,3,2,300
"2426","countdown",76.1732851985559,4.30515536530889,0,9,5,300
"2427","counter",92.4137931034483,4.47301337529376,1,0,7,300
"2428","counterclockwise",77.6,3.79871701621069,3,13,15,300
"2429","counterfeit",91.5492957746479,3.26714790668218,1,4,5,300
"2430","counting",86.1209964412811,4.05952302217112,2,2,9,300
"2431","count on",87.6447876447876,3.70362941284481,3,11,10,300
"2432","countries",73.5593220338983,4.52675646592305,0,1,3,300
"2433","country",86.6438356164384,4.41689744601076,0,1,6,300
"2434","countryside",82.312925170068,4.52816418869998,0,0,6,300
"2435","county",79.7945205479452,4.50572984939366,0,1,6,300
"2436","coup",85.2320675105485,4.29048583410245,9,15,6,300
"2437","couple",86.3945578231292,3.82146008360457,0,0,6,300
"2438","coupon",87.2413793103448,4.06409530104798,2,0,4,300
"2439","courage",93.6619718309859,3.94613821853681,1,2,9,300
"2440","courageous",91.5492957746479,3.75981394377957,1,2,9,300
"2441","courier",88.8489208633094,3.93889289701759,4,2,6,300
"2442","course",91.7808219178082,4.24105550521525,0,0,8,300
"2443","court",88.135593220339,4.06092123423936,0,1,3,300
"2444","courteous",90.6574394463668,3.71531421640679,1,1,6,300
"2445","courtesy",92.6829268292683,3.87019604096356,1,1,8,300
"2446","courtroom",89.0034364261168,3.39155772015978,1,2,2,300
"2447","cousin",91.6058394160584,3.83536438000302,3,5,7,300
"2448","cove",91.4814814814815,3.98959802331936,9,0,3,300
"2449","covenant",84.375,4.19261167058785,10,5,4,300
"2450","cover",95.221843003413,4.06627418133361,0,0,7,300
"2451","coverage",89.2086330935252,4.476617700035,3,3,7,300
"2452","covered",85.036496350365,4.5399156624047,2,4,12,300
"2453","covering",82.2064056939502,4.52340635330174,2,2,9,300
"2454","covers",80.7971014492754,4.13192316844711,1,7,7,300
"2455","covert",87.9245283018868,3.69815136630529,7,4,6,300
"2456","covet",90,3.53853885916874,18,9,8,300
"2457","cow",92.2297297297297,3.73291447672524,0,1,2,300
"2458","coward",87.0036101083032,4.24018718769447,3,2,10,300
"2459","cowardly",84.8837209302326,4.21955262679144,1,10,19,300
"2460","cowboy",84.9829351535836,3.94494152321484,1,1,2,300
"2461","cowboy hat",75.8364312267658,4.14859686734181,0,11,9,300
"2462","cowboys",80.4713804713805,3.93735067169691,0,0,3,300
"2463","cowgirl",86.4583333333333,3.93287520048898,1,3,3,300
"2464","coworker",93.040293040293,3.9343606310306,1,8,8,300
"2465","co-worker",93.4782608695652,4.1332225421011,2,2,14,300
"2466","coy",85.9375,3.82823620807212,5,4,21,300
"2467","coyote",87.3287671232877,3.59980500344322,1,1,3,300
"2468","cozy",96.140350877193,3.39485176140084,2,1,7,300
"2469","crab",86.9127516778524,4.13052433216778,0,0,2,300
"2470","crabby",86.8852459016393,4.04607583494948,11,7,9,300
"2471","crack",94.5017182130584,4.15049829484725,0,1,7,300
"2472","cracked",87.4524714828897,4.06586440230102,3,11,6,300
"2473","cracker",86.734693877551,4.00777684792863,0,0,6,300
"2474","crackers",82.9861111111111,4.08037655341907,2,2,2,300
"2475","crackle",90.7142857142857,3.72548624211102,5,0,5,300
"2476","cradle",93.448275862069,3.58745129887973,1,0,7,300
"2477","craft",91.5254237288136,4.4157189346811,0,0,5,300
"2478","crafts",87.2262773722628,4.21336581247088,3,7,3,300
"2479","craftsman",84.7517730496454,4.41453091751415,2,5,2,300
"2480","crafty",87.1080139372822,4.36242458619277,0,2,9,300
"2481","craggy",81.8548387096774,4.01533457005587,12,4,8,300
"2482","cram",91.9014084507042,3.75459220236964,1,3,7,300
"2483","cramp",90.9407665505226,3.93648706008619,1,0,10,300
"2484","cramped",79.8534798534799,3.97006383536699,4,6,3,300
"2485","cranberries",90.625,3.75508313437304,2,0,6,300
"2486","cranberry",92.9765886287625,3.42785030078429,0,0,1,300
"2487","crane",86.9415807560137,3.9920828227021,0,3,3,300
"2488","cranky",84.8484848484848,4.26182394129745,7,3,9,300
"2489","cranny",90.1234567901235,3.3252551177179,11,7,10,300
"2490","crap",94.661921708185,3.69080941390613,2,2,9,300
"2491","crappy",91.3194444444444,3.96667186328504,1,3,3,300
"2492","crash",95.53264604811,3.96857240836217,0,2,5,300
"2493","crashing",88.9655172413793,4.40622251794131,0,3,4,300
"2494","crass",89.453125,4.14242160436284,10,4,6,300
"2495","crate",91.2891986062718,3.562263825097,1,1,8,300
"2496","crater",94.0559440559441,3.56407337128442,2,1,6,300
"2497","crave",92.8571428571429,3.59508714762204,2,4,6,300
"2498","craving",92.4242424242424,3.93793845547135,3,9,9,300
"2499","crawl",93.9597315436242,3.88363931144143,0,0,2,300
"2500","crawling",88.6792452830189,3.89129320918622,1,11,10,300
"2501","crawly",92.1875,3.47760989050754,7,8,7,300
"2502","crayfish",77.2241992882562,4.28241500128203,3,2,6,300
"2503","Crayola",89.5752895752896,3.15321280088224,10,3,5,300
"2504","crayon",91.6955017301038,3.55110494043461,1,2,4,300
"2505","craze",91.4728682170543,3.89985826244926,4,7,16,300
"2506","crazed",80.3088803088803,4.36157248941316,6,7,9,300
"2507","craziness",76.7025089605735,4.70731194433622,1,6,6,300
"2508","crazy",79.0035587188612,4.44399984184186,1,3,10,300
"2509","creak",86.046511627907,3.93496335411954,4,9,12,300
"2510","cream",93.8356164383562,4.03328286225186,0,2,4,300
"2511","cream cheese",77.972027972028,4.21744920878344,1,1,9,300
"2512","creamy",96.2199312714777,4.07538359469194,1,1,4,300
"2513","crease",94.1860465116279,3.62899277900337,9,5,5,300
"2514","creased",86.7595818815331,3.73526348619192,0,2,9,300
"2515","create",91.0652920962199,4.14000919439889,1,1,4,300
"2516","creating",81.021897810219,4.34766639965743,0,11,4,300
"2517","creation",87.2413793103448,4.44135432204981,0,1,8,300
"2518","creative",90.6896551724138,4.48962047228019,2,1,2,300
"2519","creativity",94.19795221843,4.48680696591146,1,0,4,300
"2520","creator",89.1608391608392,3.78750911145598,1,2,7,300
"2521","creature",87.1080139372822,4.14308443878583,2,1,5,300
"2522","credible",89.7435897435898,3.97182003697087,1,8,8,300
"2523","credit",91.958041958042,3.89385285125212,2,1,6,300
"2524","credit card",90.9090909090909,3.62422450997127,0,8,9,300
"2525","creed",85.3754940711462,4.4141726100663,11,2,10,300
"2526","creek",89.527027027027,3.84062605960669,0,1,2,300
"2527","creep",85.8695652173913,4.48754597499101,1,7,7,300
"2528","creeping",81.3432835820896,4.65671970881973,4,3,14,300
"2529","creepy",88.1944444444444,4.49245801277298,1,3,3,300
"2530","cremate",91.4675767918089,3.11940556286951,0,1,5,300
"2531","cremation",94.3462897526502,3.33722690974358,1,3,8,300
"2532","Creole",80.2575107296137,3.90978601902992,14,7,11,300
"2533","crescent",93.8405797101449,3.5041235497984,4,2,8,300
"2534","crest",89.1891891891892,3.97438180290732,0,1,2,300
"2535","crevasse",87.5555555555556,3.93402751852721,18,8,5,300
"2536","crevice",90.6474820143885,3.87573079166843,5,1,5,300
"2537","crew",93.5593220338983,3.90285612085498,0,0,5,300
"2538","crib",93.0313588850174,3.52835839563041,2,0,7,300
"2539","cricket",89.6907216494845,3.79779649250259,0,1,7,300
"2540","crime",91.1864406779661,4.24487078915159,0,0,5,300
"2541","criminal",92.0138888888889,4.27732478037009,2,0,6,300
"2542","crimson",94.7183098591549,3.20844978532641,2,2,6,300
"2543","cringe",84.6153846153846,4.65355137726974,2,11,12,300
"2544","crinkle",86.530612244898,4.00124543990636,10,6,13,300
"2545","cripple",84.375,4.32798640899661,0,3,6,300
"2546","crippled",79.5454545454545,3.98301947431798,4,9,6,300
"2547","crisis",87.8136200716846,4.68515148335579,1,5,8,300
"2548","crisp",91.8149466192171,4.40639576711406,3,0,10,300
"2549","crisps",88.9679715302491,3.62964466140321,1,4,8,300
"2550","crispy",92.8813559322034,4.11685218193262,1,0,2,300
"2551","criteria",77.3279352226721,4.60369636972104,2,15,17,300
"2552","criterion",82.3293172690763,4.72960698583605,7,9,12,300
"2553","critic",90.3448275862069,4.67779322225078,0,3,4,300
